county_fips,total_population,adult_pop_45plus
19123,21874,9494
19125,33770,14893
19127,40014,16770
19129,14633,6972
19131,10518,4933
19133,8493,4125
19135,7504,3512
19137,10139,4902
19139,42218,18479
19141,14012,6180
19143,5978,2934
19145,15014,7515
19147,8810,4091
19149,25722,11487
19151,6976,3457
19153,505255,190259
19155,93179,41282
19157,18453,8425
19159,4642,2271
19161,9686,4793
19163,174270,74044
19165,11806,5815
19167,36246,13518
19169,98566,30569
19171,16833,7851
19173,5924,2728
19175,11906,5401
19177,7266,3491
19179,35166,15047
19181,55205,22911
19183,22560,10015
19185,6557,2989
19187,36485,15748
19189,10571,4872
19191,19815,9570
19193,105951,41046
19195,7297,3596
19197,12656,5693
20001,12412,5589
20003,7838,3577
20005,16016,6573
20007,4071,2012
20009,24899,11028
20011,14408,6097
20013,9250,4242
20015,68632,28280
20017,2579,1263
20019,3347,1653
20021,19054,8884
20023,2636,1281
20025,1847,873
20027,8007,3859
20029,8854,3917
20031,8251,4038
20033,1655,834
20035,34157,14634
20037,38764,14516
20039,2712,1423
20041,18445,8592
20043,7493,3407
20045,120553,40876
20047,2733,1319
20049,2467,1299
20051,28810,10597
20053,6357,3037
20055,37466,12585
20057,33980,11522
20059,26125,11510
20061,35047,7289
20063,2735,1284
20065,2376,1250
20067,7147,2688
20069,5743,2215
20071,1181,508
20073,5870,3070
20075,2437,924
20077,5435,2476
20079,33504,14831
20081,3630,1452
20083,1655,775
20085,13368,6067
20087,18327,9004
20089,2847,1554
20091,622237,255185
20093,3823,1446
20095,7066,3254
20097,2374,1080
20099,19728,8946
20101,1529,753
20103,83518,33947
20105,2920,1497
20107,9860,5012
20109,2665,1159
20111,32172,11974
20113,30091,13020
20115,11690,5595
20117,9933,4719
20119,3911,1667
20121,35320,15973
20123,5719,2655
20125,30568,13796
20127,5334,2772
20129,2580,1210
20131,10114,4396
20133,15420,6892
20135,2618,1286
20137,5330,2434
20139,15824,7535
20141,3427,1722
20143,5818,2750
20145,6126,3128
20147,4761,2375
20149,26382,9986
20151,9082,3941
20153,2463,1265
20155,61497,27718
20157,4627,2316
20159,9260,3960
20161,71402,17558
20163,4778,2344
20165,2830,1521
20167,6723,3385
20169,53098,23562
20171,4922,2094
20173,528469,205253
20175,21067,6760
20177,177746,78114
20179,2423,1127
20181,5844,2488
20183,3590,1963
20185,3909,1811
20187,1901,797
20189,5077,2047
20191,22334,10128
20193,7865,3132
20195,2731,1474
20197,7057,3343
20199,1509,683
20201,5504,2598
20203,2082,925
20205,8382,3969
20207,3115,1602
20209,165281,59672
21001,19264,8888
21003,21788,9847
21005,24613,11131
21007,7582,3769
21009,45008,20052
21011,12975,5624
21013,23317,10804
21015,140496,57239
21017,20134,9495
21019,47826,22366
21021,30988,13495
21023,8426,3875
21025,12953,6175
21027,21124,10013
21029,84863,38695
21031,12375,5625
21033,12551,5893
21035,38280,15074
21037,93702,40230
21039,4704,2180
21041,10987,4508
21043,26366,12291
21045,15918,7385
21047,72032,21497
