county_fips,state_abbr,county_name,cmr_facility_count,cct_facility_count,svi_percentile,svi_quartile,rucc_code,metro_indicator,total_population,adult_pop_45plus,rate_excluded,cmr_rate_per_100k,cct_rate_per_100k
41035,OR,Klamath,0,0,0.8438,4,5.0,0,70003,32474,0,0.0,0.0
36075,NY,Oswego,0,0,0.5962,3,2.0,1,118162,53097,0,0.0,0.0
01019,AL,Cherokee,0,0,0.406,2,8.0,0,25666,13714,0,0.0,0.0
48019,TX,Bandera,0,0,0.5899,3,1.0,1,22637,13185,0,0.0,0.0
30087,MT,Rosebud,0,0,0.9408,4,8.0,0,8160,3296,0,0.0,0.0
35059,NM,Union,0,0,0.9526,4,9.0,0,3964,1869,0,0.0,0.0
26153,MI,Schoolcraft,0,0,0.552,3,9.0,0,8149,4725,0,0.0,0.0
36111,NY,Ulster,1,1,0.5511,3,3.0,1,182333,89377,0,1.1188560815422313,1.1188560815422313
34007,NJ,Camden,5,3,0.7795,4,1.0,1,527196,221488,0,2.2574586433576536,1.3544751860145923
17083,IL,Jersey,0,0,0.0318,1,1.0,1,21091,10259,0,0.0,0.0
51085,VA,Hanover,1,1,0.0274,1,1.0,1,114148,53495,0,1.869333582577811,1.869333582577811
20199,KS,Wallace,0,0,0.1756,1,9.0,0,1509,683,1,,
26003,MI,Alger,0,0,0.2908,2,9.0,0,8757,4738,0,0.0,0.0
05049,AR,Fulton,0,0,0.6535,3,9.0,0,12421,6504,0,0.0,0.0
48215,TX,Hidalgo,0,2,0.9841,4,2.0,1,898471,289355,0,0.0,0.6911924798258196
37155,NC,Robeson,0,0,0.9962,4,4.0,0,117365,46913,0,0.0,0.0
26123,MI,Newaygo,0,1,0.5463,3,6.0,0,51108,24511,0,0.0,4.079800905715801
41049,OR,Morrow,0,0,0.7735,4,8.0,0,12302,4892,0,0.0,0.0
27153,MN,Todd,0,0,0.5915,3,8.0,0,25667,12344,0,0.0,0.0
05083,AR,Logan,0,0,0.5444,3,8.0,0,21400,10414,0,0.0,0.0
37109,NC,Lincoln,0,0,0.2517,2,1.0,1,95675,46810,0,0.0,0.0
05091,AR,Miller,0,0,0.9354,4,3.0,1,42415,18098,0,0.0,0.0
12095,FL,Orange,5,15,0.7951,4,1.0,1,1471416,559814,0,0.8931537975113162,2.6794613925339488
08111,CO,San Juan,0,0,0.4276,2,9.0,0,802,446,1,,
16041,ID,Franklin,0,0,0.1101,1,3.0,1,15494,5710,0,0.0,0.0
13045,GA,Carroll,0,0,0.8428,4,1.0,1,127098,48452,0,0.0,0.0
20161,KS,Riley,0,0,0.567,3,3.0,1,71402,17558,0,0.0,0.0
48413,TX,Schleicher,0,0,0.5803,3,8.0,0,2391,1059,0,0.0,0.0
51167,VA,Russell,0,0,0.3468,2,8.0,0,25477,13176,0,0.0,0.0
37027,NC,Caldwell,0,1,0.6503,3,2.0,1,80574,40297,0,0.0,2.4815743107427353
16065,ID,Madison,0,0,0.4318,2,4.0,0,54547,7850,0,0.0,0.0
18173,IN,Warrick,1,1,0.0194,1,2.0,1,65867,29642,0,3.373591525538088,3.373591525538088
21001,KY,Adair,0,0,0.6026,3,7.0,0,19264,8888,0,0.0,0.0
21077,KY,Gallatin,0,0,0.5514,3,1.0,1,8792,3820,0,0.0,0.0
21097,KY,Harrison,0,0,0.2714,2,6.0,0,19415,8868,0,0.0,0.0
23023,ME,Sagadahoc,0,0,0.1015,1,2.0,1,37513,19569,0,0.0,0.0
30097,MT,Sweet Grass,0,0,0.0242,1,8.0,0,3763,2039,0,0.0,0.0
48181,TX,Grayson,0,1,0.6888,3,3.0,1,146907,62703,0,0.0,1.5948200245602282
42059,PA,Greene,0,0,0.342,2,6.0,0,34357,16556,0,0.0,0.0
02188,AK,Northwest Arctic,0,0,0.8734,4,9.0,0,7361,2009,0,0.0,0.0
20051,KS,Ellis,0,0,0.2393,1,5.0,0,28810,10597,0,0.0,0.0
01065,AL,Hale,0,0,0.8826,4,2.0,1,14888,6497,0,0.0,0.0
01105,AL,Perry,0,0,0.9214,4,8.0,0,7738,3613,0,0.0,0.0
01033,AL,Colbert,0,1,0.4467,2,3.0,1,58361,27196,0,0.0,3.6770113251948815
20151,KS,Pratt,0,0,0.3341,2,7.0,0,9082,3941,0,0.0,0.0
21017,KY,Bourbon,0,0,0.5237,3,2.0,1,20134,9495,0,0.0,0.0
47149,TN,Rutherford,1,1,0.4267,2,1.0,1,367101,128176,0,0.7801772562726251,0.7801772562726251
13075,GA,Cook,0,0,0.9338,4,6.0,0,17714,7333,0,0.0,0.0
20101,KS,Lane,0,0,0.0716,1,9.0,0,1529,753,1,,
40059,OK,Harper,0,0,0.4028,2,9.0,0,3190,1454,0,0.0,0.0
17147,IL,Piatt,0,0,0.0045,1,3.0,1,16714,7968,0,0.0,0.0
48107,TX,Crosby,0,0,0.9504,4,2.0,1,4917,2079,0,0.0,0.0
01063,AL,Greene,0,0,0.9157,4,2.0,1,7341,3617,0,0.0,0.0
16033,ID,Clark,0,0,0.5412,3,8.0,0,801,349,1,,
19109,IA,Kossuth,0,0,0.203,1,7.0,0,14396,7146,0,0.0,0.0
38013,ND,Burke,0,0,0.0363,1,8.0,0,2134,1005,0,0.0,0.0
37063,NC,Durham,0,0,0.686,3,2.0,1,336892,126219,0,0.0,0.0
19085,IA,Harrison,0,0,0.0388,1,2.0,1,14670,6953,0,0.0,0.0
31103,NE,Keya Paha,0,0,0.0226,1,9.0,0,805,448,1,,
19187,IA,Webster,0,0,0.3439,2,5.0,0,36485,15748,0,0.0,0.0
17151,IL,Pope,0,0,0.3277,2,8.0,0,3707,2412,0,0.0,0.0
47159,TN,Smith,0,0,0.4146,2,1.0,1,20538,9250,0,0.0,0.0
51089,VA,Henry,0,0,0.7757,4,4.0,0,49702,26180,0,0.0,0.0
51510,VA,Alexandria,1,1,0.3178,2,1.0,1,155230,58809,0,1.700420003740924,1.700420003740924
19101,IA,Jefferson,0,0,0.6774,3,7.0,0,15440,7872,0,0.0,0.0
30049,MT,Lewis and Clark,0,0,0.1906,1,3.0,1,75011,34081,0,0.0,0.0
49013,UT,Duchesne,0,0,0.5361,3,7.0,0,20477,7057,0,0.0,0.0
40003,OK,Alfalfa,0,0,0.3048,2,8.0,0,5673,2715,0,0.0,0.0
48119,TX,Delta,0,0,0.3665,2,8.0,0,5520,2499,0,0.0,0.0
47169,TN,Trousdale,0,0,0.2157,1,1.0,1,12271,4418,0,0.0,0.0
21193,KY,Perry,0,0,0.6901,3,7.0,0,27133,12239,0,0.0,0.0
46039,SD,Deuel,0,0,0.0213,1,9.0,0,4354,2041,0,0.0,0.0
41029,OR,Jackson,0,1,0.7025,3,3.0,1,220768,105063,0,0.0,0.9518098664610757
48507,TX,Zavala,0,0,0.909,4,7.0,0,9312,3312,0,0.0,0.0
31007,NE,Banner,0,0,0.0124,1,8.0,0,674,354,1,,
19121,IA,Madison,0,0,0.0035,1,2.0,1,16971,7617,0,0.0,0.0
12011,FL,Broward,2,16,0.7814,4,1.0,1,1962531,893246,0,0.22390248598930193,1.7912198879144154
13279,GA,Toombs,0,0,0.9857,4,7.0,0,27040,10722,0,0.0,0.0
26151,MI,Sanilac,0,0,0.4613,2,8.0,0,40368,20446,0,0.0,0.0
48397,TX,Rockwall,0,0,0.1164,1,1.0,1,131307,49836,0,0.0,0.0
26163,MI,Wayne,3,12,0.861,4,1.0,1,1751169,730577,0,0.41063433423171003,1.6425373369268401
27105,MN,Nobles,0,0,0.8323,4,7.0,0,21727,8612,0,0.0,0.0
27001,MN,Aitkin,0,0,0.2838,2,8.0,0,16102,10234,0,0.0,0.0
38071,ND,Ramsey,0,0,0.4747,2,7.0,0,11463,5188,0,0.0,0.0
37145,NC,Person,0,0,0.5393,3,2.0,1,39737,19568,0,0.0,0.0
20195,KS,Trego,0,0,0.0105,1,9.0,0,2731,1474,0,0.0,0.0
28151,MS,Washington,0,1,0.9971,4,5.0,0,41946,17904,0,0.0,5.5853440571939235
48133,TX,Eastland,0,0,0.8616,4,8.0,0,18037,8373,0,0.0,0.0
28055,MS,Issaquena,0,0,0.9539,4,9.0,0,1256,476,1,,
48123,TX,DeWitt,0,0,0.8441,4,6.0,0,19929,9089,0,0.0,0.0
48005,TX,Angelina,0,0,0.9917,4,5.0,0,87319,35779,0,0.0,0.0
45081,SC,Saluda,0,0,0.8228,4,2.0,1,19123,9217,0,0.0,0.0
29125,MO,Maries,0,0,0.4814,2,8.0,0,8430,4226,0,0.0,0.0
05001,AR,Arkansas,0,0,0.7226,3,6.0,0,16307,7625,0,0.0,0.0
29109,MO,Lawrence,0,0,0.7362,3,6.0,0,38872,16535,0,0.0,0.0
51540,VA,Charlottesville,1,2,0.5727,3,3.0,1,44983,15192,0,6.582411795681938,13.164823591363875
17011,IL,Bureau,0,0,0.3544,2,7.0,0,32729,16231,0,0.0,0.0
39145,OH,Scioto,0,1,0.7474,3,4.0,0,71969,32129,0,0.0,3.112452924149522
37115,NC,Madison,0,0,0.35,2,2.0,1,22071,11078,0,0.0,0.0
16053,ID,Jerome,0,0,0.5826,3,3.0,1,25479,9111,0,0.0,0.0
39163,OH,Vinton,0,0,0.3595,2,8.0,0,12474,6030,0,0.0,0.0
48309,TX,McLennan,0,0,0.8861,4,2.0,1,268583,98557,0,0.0,0.0
16037,ID,Custer,0,0,0.3713,2,8.0,0,4523,2639,0,0.0,0.0
19089,IA,Howard,0,0,0.0846,1,8.0,0,9376,4258,0,0.0,0.0
